"","Block","Base_File","Repeated","Insert","Degredation","Image"
"1",1,"002b.jpg",1,NA,75,"002b.jpg"
"2",1,"005b.jpg",1,NA,75,"005b.jpg"
"3",1,"007b.jpg",1,NA,75,"007b.jpg"
"4",1,"008b.jpg",1,NA,50,"008b.jpg"
"5",1,"009a.jpg",1,NA,25,"009a.jpg"
"6",1,"011a.jpg",1,NA,25,"011a.jpg"
"7",1,"012b.jpg",1,NA,25,"012b.jpg"
"8",1,"013b.jpg",1,NA,25,"013b.jpg"
"9",1,"014b.jpg",1,NA,50,"014b.jpg"
"10",1,"016a.jpg",1,NA,50,"016a.jpg"
"11",1,"017a.jpg",1,NA,75,"017a.jpg"
"12",1,"018a.jpg",1,NA,50,"018a.jpg"
"13",1,"019b.jpg",1,NA,0,"019b.jpg"
"14",1,"020b.jpg",1,NA,0,"020b.jpg"
"15",1,"021a.jpg",1,NA,0,"021a.jpg"
"16",1,"023b.jpg",1,NA,25,"023b.jpg"
"17",1,"024a.jpg",1,NA,25,"024a.jpg"
"18",1,"025a.jpg",1,NA,25,"025a.jpg"
"19",1,"026a.jpg",1,NA,0,"026a.jpg"
"20",1,"027b.jpg",1,NA,0,"027b.jpg"
"21",1,"029a.jpg",1,NA,75,"029a.jpg"
"22",1,"031a.jpg",1,NA,0,"031a.jpg"
"23",1,"032a.jpg",1,NA,75,"032a.jpg"
"24",1,"033b.jpg",1,NA,75,"033b.jpg"
"25",1,"034b.jpg",1,NA,50,"034b.jpg"
"26",1,"036b.jpg",1,NA,50,"036b.jpg"
"27",1,"037b.jpg",1,NA,50,"037b.jpg"
"28",1,"038b.jpg",1,NA,50,"038b.jpg"
"29",1,"039a.jpg",1,NA,50,"039a.jpg"
"30",1,"040a.jpg",1,NA,75,"040a.jpg"
"31",1,"041a.jpg",1,NA,75,"041a.jpg"
"32",1,"042b.jpg",1,NA,25,"042b.jpg"
"33",1,"043b.jpg",1,NA,75,"043b.jpg"
"34",1,"044a.jpg",1,NA,0,"044a.jpg"
"35",1,"045b.jpg",1,NA,75,"045b.jpg"
"36",1,"046b.jpg",1,NA,50,"046b.jpg"
"37",1,"047a.jpg",1,NA,75,"047a.jpg"
"38",1,"048b.jpg",1,NA,25,"048b.jpg"
"39",1,"049b.jpg",1,NA,25,"049b.jpg"
"40",1,"050b.jpg",1,NA,0,"050b.jpg"
"41",1,"052a.jpg",1,NA,75,"052a.jpg"
"42",1,"053b.jpg",1,NA,0,"053b.jpg"
"43",1,"054b.jpg",1,NA,50,"054b.jpg"
"44",1,"055b.jpg",1,NA,25,"055b.jpg"
"45",1,"056a.jpg",1,NA,25,"056a.jpg"
"46",1,"057b.jpg",1,NA,0,"057b.jpg"
"47",1,"059b.jpg",1,NA,75,"059b.jpg"
"48",1,"062a.jpg",1,NA,75,"062a.jpg"
"49",1,"063b.jpg",1,NA,50,"063b.jpg"
"50",1,"064b.jpg",1,NA,0,"064b.jpg"
